CustomerID,PersonID,PersonType,FirstName,MiddleName,LastName,EmailPromotion,AddressID,AddressLine1,City,StateProvinceID,PostalCode,StateProvinceCode,CountryRegionCode,IsOnlyStateProvinceFlag,StateName,StoreID,TerritoryID,AccountNumber
29484,291,SC,Gustavo,NULL,Achong,2,291,9533 Working Drive,Renton,79,98055,"WA ",US,0,Washington,292,5,AW00029484
29485,293,SC,Catherine,R.,Abel,1,293,7559 Worth Ct.,Renton,79,98055,"WA ",US,0,Washington,294,4,AW00029485
29486,295,SC,Kim,NULL,Abercrombie,0,295,6510 Hacienda Drive,Renton,79,98055,"WA ",US,0,Washington,296,3,AW00029486
29487,297,SC,Humberto,NULL,Acevedo,2,297,7943 Walnut Ave,Renton,79,98055,"WA ",US,0,Washington,298,2,AW00029487
29488,299,SC,Pilar,NULL,Ackerman,0,299,4312 Cambridge Drive,Renton,79,98055,"WA ",US,0,Washington,300,9,AW00029488
29489,301,SC,Frances,B.,Adams,1,301,4405 Balboa Court,Santa Cruz,9,95062,"CA ",US,0,California,302,4,AW00029489
29490,303,SC,Margaret,J.,Smith,0,303,4659 Montoya,Altadena,9,91001,"CA ",US,0,California,304,1,AW00029490
29491,305,SC,Carla,J.,Adams,0,305,7179 Montana,Torrance,9,90505,"CA ",US,0,California,306,5,AW00029491
29492,307,SC,Jay,NULL,Adams,1,307,50 Big Canyon Road,Lebanon,58,97355,"OR ",US,0,Oregon,308,3,AW00029492
29493,309,SC,Ronald,L.,Adina,0,309,28 San Marino Ct.,Bellingham,79,98225,"WA ",US,0,Washington,310,5,AW00029493
29494,311,SC,Samuel,N.,Agcaoili,0,311,9830 May Way,Mill Valley,40,59715,"MT ",US,0,Montana,312,6,AW00029494
29495,313,SC,James,T.,Aguilar,1,313,2141 Delaware Ct.,Downey,72,37501,"TN ",US,0,Tennessee,314,8,AW00029495
29496,315,SC,Robert,E.,Ahlering,0,315,5807 Churchill Dr.,Corvallis,58,97330,"OR ",US,0,Oregon,316,4,AW00029496
29497,317,SC,François,NULL,Ferrier,1,317,628 Muir Road,Los Angeles,9,90012,"CA ",US,0,California,318,1,AW00029497
29498,319,SC,Kim,NULL,Akers,2,319,137 Lancelot Dr,Phoenix,6,85004,"AZ ",US,0,Arizona,320,2,AW00029498
29499,323,SC,Amy,E.,Alberts,1,323,7651 Smiling Tree Court,Los Angeles,9,90012,"CA ",US,0,California,324,6,AW00029499
29500,325,SC,Anna,A.,Albright,1,325,9491 Toyon Dr,Dallas,73,75201,"TX ",US,0,Texas,326,5,AW00029500
29501,327,SC,Milton,J.,Albury,0,327,3 Chablis Court,Torrance,9,90505,"CA ",US,0,California,328,2,AW00029501
29502,329,SC,Paul,L.,Alcorn,1,329,9056 Mount Dr,Chicago,24,60610,"IL ",US,0,Illinois,330,1,AW00029502
29503,331,SC,Gregory,F.,Alderson,0,331,419 River Ash Court,Lakewood,37,63301,"MO ",US,0,Missouri,332,6,AW00029503
29504,333,SC,J. Phillip,L.,Alexander,1,333,50 Edward Ave,Concord,9,94519,"CA ",US,0,California,334,5,AW00029504
29505,335,SC,Michelle,NULL,Alexander,2,335,8547 Catherine Way,Tacoma,79,98403,"WA ",US,0,Washington,336,1,AW00029505
29506,337,SC,Sean,P.,Jacobson,2,337,2909 Toyon Dr.,Burlingame,9,94010,"CA ",US,0,California,338,4,AW00029506
29507,339,SC,Phyllis,A.,Allen,1,339,7053 Laurel Dr.,La Mesa,48,88044,"NM ",US,0,New Mexico,340,5,AW00029507
